Категория;Подкатегория;Группа;Подгруппа;Товар;Бренд;Максимальная продажная цена;Средняя цена продажи (руб)
135. Сыры;135.13. Творожные и рассольные сыры;135.13.14. Творожные сыры;135.13.14.13. Сыры творожные весовые;Cыр творожный жареный Meisterio 22%. в/у. кг;Не бренд; 329 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.14. Творожные сыры;135.13.14.16. Сыры творожные шт.; БЗМЖ Сыр Бюш в обсыпке Пикантная с укропом 45% 130г;Coeur du Nord; 329 ; 295 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.14. Творожные сыры;135.13.14.16. Сыры творожные шт.;БЗМЖ Крем-сыр Cheese Pleasure гол плес 55% минд 150г Россия;Cheese Pleasure; 329 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.14. Творожные сыры;135.13.14.16. Сыры творожные шт.;БЗМЖ Крем-сыр Cheese Pleasure с гол плес 55% 150г Россия;Cheese Pleasure; 329 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.14. Творожные сыры;135.13.14.16. Сыры творожные шт.;БЗМЖ Сыр Bonfesto Маскарпоне Тирамис 65% 250г Беларусь;Bonfesto; 329 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.14. Творожные сыры;135.13.14.16. Сыры творожные шт.;БЗМЖ Сыр Бюш в имбире из коровьего молока 45% 130г;Coeur du Nord; 329 ; 204 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.14. Творожные сыры;135.13.14.16. Сыры творожные шт.;БЗМЖ Сыр Бюш в обсыпке  Азиатская45% 130г;Coeur du Nord; 329 ; 293 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.15. Моцарелла;135.13.15.10. Моцарелла, буратта свежая шт.;БЗМЖ Сыр Galbani Mozzarella Mini 45% 150г Россия;Galbani; 329 ; 206 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.15. Моцарелла;135.13.15.10. Моцарелла, буратта свежая шт.;БЗМЖ Сыр Rossini Страчателла 50% 200г Россия;Rossini; 329 ; 251 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.15. Моцарелла;135.13.15.12. Моцарелла для пиццы шт.;БЗМЖ Сыр Bonfesto Mozzarella Pizza 45%/40% 250г Беларусь;Bonfesto; 329 ; 286 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.16. Прочие сыры с белой плесенью (шт);Сыр Золотая Серна мягкий 200г Bongrain Франция;Bongrain; 329 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.18. Камамбер (шт);БЗМЖ Сыр Калория Камамбер с пажитником и орехами 125г Россия;Калория; 329 ; 289 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.20. Бри (шт);БЗМЖ Сыр Бри с трюфелем 50%  Natura Selection 100г Россия;Natura; 329 ; 221 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.20. Бри (шт);Сыр Бри безлактозный 60% Президент 200г;President; 329 ;
